name	domain	frameworks	description
implementing-digital-signatures-with-ed25519	cryptography	NIST-CSF;MITRE-ATTACK	Ed25519 is a high-performance digital signature algorithm using the Edwards curve Curve25519. It provides 128-bit security with 64-byte signatures and 32-byte keys, offering significant advantages ove
implementing-disk-encryption-with-bitlocker	endpoint-security	NIST-CSF;MITRE-ATTACK	Implements full disk encryption using Microsoft BitLocker on Windows endpoints to protect data at rest from unauthorized access in case of device loss or theft. Use when deploying encryption for compliance requirements, securing mobile workstations, or implementing data protection controls across the enterprise. Activates for requests involving BitLocker encryption, disk encryption, TPM configuration, or data-at-rest protection.
implementing-dmarc-dkim-spf-email-security	phishing-defense	NIST-CSF;MITRE-ATTACK	SPF, DKIM, and DMARC form the three pillars of email authentication. Together they prevent domain spoofing, validate message integrity, and define policies for handling unauthenticated mail. Proper im
implementing-dragos-platform-for-ot-monitoring	ot-ics-security	NIST-CSF;MITRE-ATTACK;NIST-AI-RMF;ATLAS	Deploy and configure the Dragos Platform for OT network monitoring, leveraging its 600+ industrial protocol parsers, intelligence-driven threat detection analytics, and asset visibility capabilities to protect ICS environments against threat groups like VOLTZITE, GRAPHITE, and BAUXITE.
implementing-ebpf-security-monitoring	security-operations	NIST-CSF;MITRE-ATTACK;NIST-AI-RMF;ATLAS	Implements eBPF-based security monitoring using Cilium Tetragon for real-time process execution tracking, network connection observability, file access auditing, and runtime enforcement. Covers TracingPolicy CRD authoring with kprobe/tracepoint hooks, in-kernel filtering via matchArgs/matchBinaries selectors, JSON event export, and integration with SIEM pipelines. Use when building kernel-level runtime security observability for Linux hosts or Kubernetes clusters.
implementing-email-sandboxing-with-proofpoint	phishing-defense	NIST-CSF;MITRE-ATTACK	Email sandboxing detonates suspicious attachments and URLs in isolated environments to detect zero-day malware and evasive phishing payloads. Proofpoint Targeted Attack Protection (TAP) is an industry
implementing-end-to-end-encryption-for-messaging	cryptography	NIST-CSF;MITRE-ATTACK	End-to-end encryption (E2EE) ensures that only the communicating parties can read messages, with no intermediary (including the server) able to decrypt them. This skill implements a simplified version
implementing-endpoint-detection-with-wazuh	security-operations	NIST-CSF;MITRE-ATTACK;NIST-AI-RMF	Deploy and configure Wazuh SIEM/XDR for endpoint detection including agent management, custom decoder and rule XML creation, alert querying via the Wazuh REST API, and automated response actions.
implementing-endpoint-dlp-controls	endpoint-security	NIST-CSF;MITRE-ATTACK;NIST-AI-RMF;ATLAS	Implements endpoint Data Loss Prevention (DLP) controls to detect and prevent sensitive data exfiltration through email, USB, cloud storage, and printing. Use when deploying DLP agents, creating content inspection policies, or preventing unauthorized data movement from endpoints. Activates for requests involving DLP, data exfiltration prevention, content inspection, or sensitive data protection on endpoints.
implementing-envelope-encryption-with-aws-kms	cryptography	NIST-CSF;MITRE-ATTACK	Envelope encryption is a strategy where data is encrypted with a data encryption key (DEK), and the DEK itself is encrypted with a master key (KEK) managed by AWS KMS. This approach allows encrypting
implementing-epss-score-for-vulnerability-prioritization	vulnerability-management	NIST-CSF;MITRE-ATTACK	Integrate FIRST's Exploit Prediction Scoring System (EPSS) API to prioritize vulnerability remediation based on real-world exploitation probability within 30 days.
implementing-file-integrity-monitoring-with-aide	endpoint-security	NIST-CSF;MITRE-ATTACK	Configure AIDE (Advanced Intrusion Detection Environment) for file integrity monitoring including baseline creation, scheduled integrity checks, change detection, and alerting
implementing-fuzz-testing-in-cicd-with-aflplusplus	devsecops	NIST-CSF;MITRE-ATTACK;NIST-AI-RMF;ATLAS	Integrate AFL++ coverage-guided fuzz testing into CI/CD pipelines to discover memory corruption, input handling, and logic vulnerabilities in C/C++ and compiled applications.
implementing-gcp-binary-authorization	cloud-security	NIST-CSF;MITRE-ATTACK	Implement GCP Binary Authorization to enforce deploy-time security controls that ensure only trusted, attested container images are deployed to Google Kubernetes Engine and Cloud Run.
implementing-gcp-organization-policy-constraints	cloud-security	NIST-CSF;MITRE-ATTACK	Implement GCP Organization Policy constraints to enforce security guardrails across the entire resource hierarchy, restricting risky configurations and ensuring compliance at organization, folder, and project levels.
implementing-gcp-vpc-firewall-rules	cloud-security	NIST-CSF;MITRE-ATTACK	Implementing and auditing GCP VPC firewall rules to enforce network segmentation, restrict ingress and egress traffic, apply hierarchical firewall policies across the organization, and monitor firewall rule effectiveness using VPC Flow Logs.
implementing-gdpr-data-protection-controls	compliance-governance	NIST-CSF;MITRE-ATTACK;NIST-AI-RMF;ATLAS	The General Data Protection Regulation (EU) 2016/679 (GDPR) is the EU's comprehensive data protection law governing the collection, processing, storage, and transfer of personal data. This skill cover
implementing-gdpr-data-subject-access-request	privacy-compliance	NIST-CSF;MITRE-ATTACK	Automates GDPR Data Subject Access Request (DSAR) workflows including identity verification, PII discovery across databases and files using regex and NER, data mapping, response templating per Article 15 requirements, deadline tracking, and audit logging. Covers ICO/EDPB guidance compliance, exemption handling, and scalable batch processing. Use when building or auditing DSAR response capabilities under GDPR/UK GDPR.
implementing-github-advanced-security-for-code-scanning	devsecops	NIST-CSF;MITRE-ATTACK	Configure GitHub Advanced Security with CodeQL to perform automated static analysis and vulnerability detection across repositories at enterprise scale.
implementing-google-workspace-admin-security	identity-access-management	NIST-CSF;MITRE-ATTACK	Implements comprehensive Google Workspace security hardening including admin console configuration, phishing-resistant MFA enforcement, DLP policies, email authentication (SPF/DKIM/DMARC), OAuth app control, and external sharing restrictions. Activates for requests involving Google Workspace hardening, G Suite security configuration, or cloud office security administration.
implementing-google-workspace-phishing-protection	phishing-defense	NIST-CSF;MITRE-ATTACK	Configure Google Workspace advanced phishing and malware protection settings including pre-delivery scanning, attachment protection, spoofing detection, and Enhanced Safe Browsing.
implementing-google-workspace-sso-configuration	identity-access-management	NIST-CSF;MITRE-ATTACK	Configure SAML 2.0 single sign-on for Google Workspace with a third-party identity provider, enabling centralized authentication and enforcing organization-wide access policies.
implementing-hardware-security-key-authentication	identity-and-access-management	NIST-CSF;MITRE-ATTACK;NIST-AI-RMF;ATLAS	Implements FIDO2/WebAuthn hardware security key authentication including registration ceremonies, authentication flows, YubiKey enrollment, and passkey migration strategies. Builds a complete relying party server using the python-fido2 library that supports cross-platform authenticators, resident key (discoverable credential) workflows, and user verification policies. Activates for requests involving FIDO2 implementation, WebAuthn registration, hardware security key enrollment, YubiKey integration, or passkey migration from password-based authentication.
implementing-hashicorp-vault-dynamic-secrets	identity-access-management	NIST-CSF;MITRE-ATTACK	Implements HashiCorp Vault dynamic secrets engines for database credentials, AWS IAM keys, and PKI certificates with automatic generation, lease management, and credential rotation to eliminate static secrets in application configurations. Activates for requests involving Vault secrets engine configuration, dynamic database credentials, ephemeral cloud credentials, or automated secret rotation.
implementing-honeypot-for-ransomware-detection	ransomware-defense	NIST-CSF;MITRE-ATTACK	Deploys canary files, honeypot shares, and decoy systems to detect ransomware activity at the earliest possible stage. Configures canary tokens embedded in strategic file locations that trigger alerts when ransomware attempts encryption, uses honeypot network shares that mimic high-value targets, and deploys Thinkst Canary appliances for comprehensive deception-based detection. Activates for requests involving ransomware honeypots, canary files, deception technology for ransomware, or early ransomware alerting.
implementing-honeytokens-for-breach-detection	security-operations	NIST-CSF;MITRE-ATTACK	Deploys canary tokens and honeytokens (fake AWS credentials, DNS canaries, document beacons, database records) that trigger alerts when accessed by attackers. Uses the Canarytokens API and custom webhook integrations for breach detection. Use when building deception-based early warning systems for intrusion detection.
implementing-ics-firewall-with-tofino	ot-ics-security	NIST-CSF;MITRE-ATTACK	Deploy and configure Tofino industrial firewalls from Belden/Hirschmann to protect SCADA systems and PLCs using deep packet inspection for OT protocols including Modbus, EtherNet/IP, OPC, and S7comm, enforcing granular access control between ICS security zones.
implementing-identity-governance-with-sailpoint	identity-access-management	NIST-CSF;MITRE-ATTACK	Deploy SailPoint IdentityNow or IdentityIQ for identity governance and administration. Covers identity lifecycle management, access request workflows, certification campaigns, role mining, SOD policy
implementing-identity-verification-for-zero-trust	zero-trust-architecture	NIST-CSF;MITRE-ATTACK;NIST-AI-RMF;ATLAS	Implement continuous identity verification for zero trust using phishing-resistant MFA (FIDO2/WebAuthn), risk-based conditional access, and identity governance aligned with the CISA Zero Trust Maturity Model.
implementing-iec-62443-security-zones	ot-ics-security	NIST-CSF;MITRE-ATTACK	This skill covers designing and implementing security zones and conduits for industrial automation and control systems (IACS) per IEC 62443-3-2. It addresses zone partitioning based on risk assessment, assigning Security Level targets (SL-T), designing conduit security controls, implementing microsegmentation with industrial firewalls, and validating zone architecture through traffic analysis and penetration testing against the Purdue Reference Model.
implementing-image-provenance-verification-with-cosign	container-security	NIST-CSF;MITRE-ATTACK	Sign and verify container image provenance using Sigstore Cosign with keyless OIDC-based signing, attestations, and Kubernetes admission enforcement.
implementing-immutable-backup-with-restic	ransomware-defense	NIST-CSF;MITRE-ATTACK;NIST-AI-RMF;ATLAS	Implements immutable backup strategy using restic with S3-compatible storage and object lock for ransomware-resistant data protection. Automates backup creation, integrity verification via restic check --read-data, snapshot retention policy enforcement, and restore testing. Integrates with AWS S3 Object Lock, MinIO, and Backblaze B2 for WORM (Write Once Read Many) storage that prevents backup deletion or encryption by ransomware actors.
implementing-infrastructure-as-code-security-scanning	devsecops	NIST-CSF;MITRE-ATTACK	This skill covers implementing automated security scanning for Infrastructure as Code (IaC) templates using tools like Checkov, tfsec, and KICS. It addresses detecting misconfigurations in Terraform, CloudFormation, Kubernetes manifests, and Helm charts before deployment, establishing policy-based governance, and integrating IaC scanning into CI/CD pipelines to prevent insecure cloud resource provisioning.
implementing-iso-27001-information-security-management	compliance-governance	NIST-CSF;MITRE-ATTACK	ISO/IEC 27001:2022 is the international standard for establishing, implementing, maintaining, and continually improving an Information Security Management System (ISMS). This skill covers the complete
implementing-just-in-time-access-provisioning	identity-access-management	NIST-CSF;MITRE-ATTACK	Implement Just-In-Time (JIT) access provisioning to eliminate standing privileges by granting temporary, time-bound access only when needed. This skill covers JIT architecture design, approval workflo
implementing-jwt-signing-and-verification	cryptography	NIST-CSF;MITRE-ATTACK	JSON Web Tokens (JWT) defined in RFC 7519 are compact, URL-safe tokens used for authentication and authorization in web applications. This skill covers implementing secure JWT signing with HMAC-SHA256
implementing-kubernetes-network-policy-with-calico	container-security	NIST-CSF;MITRE-ATTACK	Implement Kubernetes network segmentation using Calico NetworkPolicy and GlobalNetworkPolicy for zero-trust pod-to-pod communication.
implementing-kubernetes-pod-security-standards	container-security	NIST-CSF;MITRE-ATTACK	Pod Security Standards (PSS) define three levels of security policies -- Privileged, Baseline, and Restricted -- enforced by the Pod Security Admission (PSA) controller built into Kubernetes 1.25+. PS
implementing-llm-guardrails-for-security	ai-security	NIST-CSF;MITRE-ATTACK;NIST-AI-RMF;ATLAS	Implements input and output validation guardrails for LLM-powered applications to prevent prompt injection, data leakage, toxic content generation, and hallucinated outputs. Builds a security validation pipeline using NVIDIA NeMo Guardrails Colang definitions, custom Python validators for PII detection and content policy enforcement, and the Guardrails AI framework for structured output validation. The guardrails system intercepts both user inputs (blocking injection attempts, stripping PII, enforcing topic boundaries) and model outputs (detecting hallucinations, filtering toxic content, validating JSON schema compliance). Activates for requests involving LLM output validation, AI content filtering, guardrail implementation, or LLM safety enforcement.
implementing-log-forwarding-with-fluentd	security-operations	NIST-CSF;MITRE-ATTACK	Configure Fluentd and Fluent Bit for centralized log aggregation, routing, filtering, and enrichment across distributed infrastructure
implementing-log-integrity-with-blockchain	security-operations	NIST-CSF;MITRE-ATTACK	Build an append-only log integrity chain using SHA-256 hash chaining for tamper detection. Each log entry is hashed with the previous entry's hash to create a blockchain-like structure where modifying any entry invalidates all subsequent hashes. Implements log ingestion, chain verification, tamper detection with pinpoint identification, and periodic checkpoint anchoring to external timestamping services.
implementing-memory-protection-with-dep-aslr	endpoint-security	NIST-CSF;MITRE-ATTACK	Implements memory protection mechanisms including DEP (Data Execution Prevention), ASLR (Address Space Layout Randomization), CFG (Control Flow Guard), and other exploit mitigations to prevent memory corruption attacks. Use when hardening endpoints against buffer overflow exploits, ROP chains, and code injection. Activates for requests involving memory protection, exploit mitigation, DEP, ASLR, or CFG configuration.
implementing-microsegmentation-with-guardicore	zero-trust-architecture	NIST-CSF;MITRE-ATTACK	Implementing microsegmentation using Akamai Guardicore Segmentation to map application dependencies, create granular network policies, visualize east-west traffic flows, and enforce least-privilege communication between workloads across data centers and cloud.
implementing-mimecast-targeted-attack-protection	phishing-defense	NIST-CSF;MITRE-ATTACK	Deploy Mimecast Targeted Threat Protection including URL Protect, Attachment Protect, Impersonation Protect, and Internal Email Protect to defend against advanced phishing and spearphishing attacks.
implementing-mitre-attack-coverage-mapping	soc-operations	NIST-CSF;MITRE-ATTACK;NIST-AI-RMF;ATLAS	Implement MITRE ATT&CK coverage mapping to identify detection gaps, prioritize rule development, and measure SOC detection maturity against adversary techniques.
implementing-mobile-application-management	mobile-security	NIST-CSF;MITRE-ATTACK	Implements Mobile Application Management (MAM) policies to protect enterprise data on managed and unmanaged mobile devices through app-level controls including data loss prevention, selective wipe, app configuration, and containerization. Use when securing corporate apps on BYOD devices, implementing Intune App Protection Policies, or enforcing data separation between personal and work apps. Activates for requests involving MAM deployment, app protection policies, mobile containerization, or BYOD security.
implementing-mtls-for-zero-trust-services	security-operations	NIST-CSF;MITRE-ATTACK	Configures mutual TLS (mTLS) authentication between microservices using Python cryptography library for certificate generation and ssl module for TLS verification. Validates certificate chains, checks expiration, and audits mTLS deployment status. Use when implementing zero-trust service-to-service authentication.
implementing-nerc-cip-compliance-controls	ot-ics-security	NIST-CSF;MITRE-ATTACK	This skill covers implementing North American Electric Reliability Corporation Critical Infrastructure Protection (NERC CIP) compliance controls for Bulk Electric System (BES) cyber systems. It addresses asset categorization (CIP-002), electronic security perimeters (CIP-005), system security management (CIP-007), configuration management (CIP-010), supply chain risk management (CIP-013), and the 2025 updates including mandatory MFA for remote access and expanded low-impact asset requirements.
implementing-network-access-control-with-cisco-ise	network-security	NIST-CSF;MITRE-ATTACK	Deploy Cisco Identity Services Engine for 802.1X wired and wireless authentication, MAC Authentication Bypass, posture assessment, and dynamic VLAN assignment for network access control.
implementing-network-access-control	network-security	NIST-CSF;MITRE-ATTACK	Implements 802.1X port-based network access control using RADIUS authentication, PacketFence NAC, and switch configurations to enforce identity-based access policies, posture assessment, and automatic VLAN assignment for authorized devices.
implementing-network-deception-with-honeypots	deception-technology	NIST-CSF;MITRE-ATTACK	Deploy and manage network honeypots using OpenCanary, T-Pot, or Cowrie to detect unauthorized access, lateral movement, and attacker reconnaissance.
implementing-network-intrusion-prevention-with-suricata	network-security	NIST-CSF;MITRE-ATTACK	Deploy and configure Suricata as a network intrusion prevention system with custom rules, Emerging Threats rulesets, and inline traffic inspection for real-time threat blocking.
implementing-network-policies-for-kubernetes	container-security	NIST-CSF;MITRE-ATTACK	Kubernetes NetworkPolicies provide pod-level network segmentation by defining ingress and egress rules that control traffic flow between pods, namespaces, and external endpoints. Combined with CNI plu
implementing-network-segmentation-for-ot	ot-ics-security	NIST-CSF;MITRE-ATTACK	This skill covers implementing network segmentation in Operational Technology environments using VLANs, industrial firewalls, data diodes, and software-defined networking. It addresses the Purdue Model-based segmentation strategy, migration from flat networks to segmented architectures without disrupting operations, configuring OT-aware firewalls with industrial protocol deep packet inspection, and validating segmentation effectiveness through traffic analysis.
implementing-network-segmentation-with-firewall-zones	network-security	NIST-CSF;MITRE-ATTACK	Design and implement network segmentation using firewall security zones, VLANs, ACLs, and microsegmentation policies to restrict lateral movement and enforce least-privilege network access.
implementing-network-traffic-analysis-with-arkime	network-security	NIST-CSF;MITRE-ATTACK	Deploy and query Arkime (formerly Moloch) for full packet capture network traffic analysis. Uses the Arkime API v3 to search sessions, download PCAPs, analyze connection patterns, detect beaconing behavior, and identify suspicious network flows. Monitors DNS queries, HTTP traffic, and TLS certificate anomalies across captured traffic.
implementing-network-traffic-baselining	network-security	NIST-CSF;MITRE-ATTACK	Build network traffic baselines from NetFlow/IPFIX data using Python pandas for statistical analysis, z-score anomaly detection, and hourly/daily traffic pattern profiling
implementing-next-generation-firewall-with-palo-alto	network-security	NIST-CSF;MITRE-ATTACK	Configure and deploy Palo Alto Networks next-generation firewalls with App-ID, User-ID, zone-based policies, SSL decryption, and threat prevention profiles for enterprise network security.
implementing-opa-gatekeeper-for-policy-enforcement	container-security	NIST-CSF;MITRE-ATTACK	Enforce Kubernetes admission policies using OPA Gatekeeper with ConstraintTemplates, Rego rules, and the Gatekeeper policy library.
implementing-ot-incident-response-playbook	ot-ics-security	NIST-CSF;MITRE-ATTACK	Develop and implement OT-specific incident response playbooks aligned with SANS PICERL framework, IEC 62443, and NIST SP 800-82 that address unique ICS challenges including safety-critical systems, limited downtime tolerance, and coordination between IT SOC, OT engineering, and plant operations teams.
implementing-ot-network-traffic-analysis-with-nozomi	ot-ics-security	NIST-CSF;MITRE-ATTACK;NIST-AI-RMF;ATLAS	Deploy Nozomi Networks Guardian sensors for passive OT network traffic analysis to achieve comprehensive asset visibility, real-time threat detection, and vulnerability assessment across industrial control systems without disrupting operations, leveraging behavioral anomaly detection and protocol-aware monitoring.
implementing-pam-for-database-access	identity-access-management	NIST-CSF;MITRE-ATTACK	Deploy privileged access management for database systems including Oracle, SQL Server, PostgreSQL, and MySQL. Covers session proxy configuration, credential vaulting, query auditing, dynamic credentia
implementing-passwordless-auth-with-microsoft-entra	identity-access-management	NIST-CSF;MITRE-ATTACK	Implements passwordless authentication using Microsoft Entra ID with FIDO2 security keys, Windows Hello for Business, Microsoft Authenticator passkeys, and certificate-based authentication to eliminate password-based attacks. Activates for requests involving passwordless deployment, FIDO2 passkey configuration, phishing-resistant MFA, or Microsoft Entra authentication method policies.
implementing-passwordless-authentication-with-fido2	identity-access-management	NIST-CSF;MITRE-ATTACK;NIST-AI-RMF;ATLAS	Deploy FIDO2/WebAuthn passwordless authentication using security keys and platform authenticators. Covers WebAuthn API integration, FIDO2 server configuration, passkey enrollment, biometric authentica
implementing-patch-management-for-ot-systems	ot-ics-security	NIST-CSF;MITRE-ATTACK	This skill covers implementing a structured patch management program for OT/ICS environments where traditional IT patching approaches can cause process disruption or safety hazards. It addresses vendor compatibility testing, risk-based patch prioritization, staged deployment through test environments, maintenance window coordination, rollback procedures, and compensating controls when patches cannot be applied due to operational constraints or vendor restrictions.
implementing-patch-management-workflow	vulnerability-management	NIST-CSF;MITRE-ATTACK	Patch management is the systematic process of identifying, testing, deploying, and verifying software updates to remediate vulnerabilities across an organization's IT infrastructure. An effective patc
implementing-pci-dss-compliance-controls	compliance-governance	NIST-CSF;MITRE-ATTACK	PCI DSS 4.0.1 establishes 12 requirements across 6 control objectives for organizations that store, process, or transmit cardholder data. With PCI DSS 3.2.1 retiring April 2024 and 51 new requirements
implementing-pod-security-admission-controller	container-security	NIST-CSF;MITRE-ATTACK	Implement Kubernetes Pod Security Admission to enforce baseline and restricted security profiles at namespace level using built-in admission controller.
implementing-policy-as-code-with-open-policy-agent	devsecops	NIST-CSF;MITRE-ATTACK;NIST-AI-RMF	This skill covers implementing Open Policy Agent (OPA) and Gatekeeper for policy-as-code enforcement in Kubernetes and CI/CD pipelines. It addresses writing Rego policies, deploying OPA Gatekeeper as a Kubernetes admission controller, testing policies in development, and integrating policy evaluation into deployment pipelines.
implementing-privileged-access-management-with-cyberark	identity-access-management	NIST-CSF;MITRE-ATTACK	Deploy CyberArk Privileged Access Management to discover, vault, rotate, and monitor privileged credentials across enterprise infrastructure. This skill covers vault architecture, session isolation, c
implementing-privileged-access-workstation	identity-and-access-management	NIST-CSF;MITRE-ATTACK	Design and implement Privileged Access Workstations (PAWs) with device hardening, just-in-time access, and integration with CyberArk or BeyondTrust for secure administrative operations.
implementing-privileged-session-monitoring	identity-access-management	NIST-CSF;MITRE-ATTACK	Implements privileged session monitoring and recording using Privileged Access Management (PAM) solutions, focusing on CyberArk Privileged Session Manager (PSM) and open-source alternatives. Covers session recording configuration, keystroke logging, real-time monitoring, risk-based session analysis, and compliance audit trail generation. Activates for requests involving privileged session recording, PAM session monitoring, CyberArk PSM configuration, administrator activity monitoring, or compliance session auditing.
implementing-proofpoint-email-security-gateway	phishing-defense	NIST-CSF;MITRE-ATTACK	Deploy and configure Proofpoint Email Protection as a secure email gateway to detect and block phishing, malware, BEC, and spam before messages reach user inboxes.
implementing-purdue-model-network-segmentation	ot-ics-security	NIST-CSF;MITRE-ATTACK	Implement network segmentation based on the Purdue Enterprise Reference Architecture (PERA) model to separate industrial control system networks into hierarchical security zones from Level 0 physical process through Level 5 enterprise, enforcing strict traffic control between OT and IT domains.
implementing-ransomware-backup-strategy	ransomware-defense	NIST-CSF;MITRE-ATTACK;NIST-AI-RMF;ATLAS	Designs and implements a ransomware-resilient backup strategy following the 3-2-1-1-0 methodology (3 copies, 2 media types, 1 offsite, 1 immutable/air-gapped, 0 errors on restore verification). Configures backup schedules aligned to RPO/RTO requirements, implements backup credential isolation to prevent ransomware from compromising backup infrastructure, and establishes automated restore testing. Activates for requests involving ransomware backup planning, backup resilience, air-gapped backup design, or backup recovery point objective configuration.
implementing-ransomware-kill-switch-detection	ransomware-defense	NIST-CSF;MITRE-ATTACK	Detects and exploits ransomware kill switch mechanisms including mutex-based execution guards, domain-based kill switches, and registry-based termination checks. Implements proactive mutex vaccination and kill switch domain monitoring to prevent ransomware from executing. Activates for requests involving ransomware kill switch analysis, mutex vaccination, WannaCry-style domain kill switches, or malware execution guard detection.
implementing-rapid7-insightvm-for-scanning	vulnerability-management	NIST-CSF;MITRE-ATTACK	Deploy and configure Rapid7 InsightVM Security Console and Scan Engines for authenticated and unauthenticated vulnerability scanning across enterprise environments.
implementing-rbac-hardening-for-kubernetes	container-security	NIST-CSF;MITRE-ATTACK	Harden Kubernetes Role-Based Access Control by implementing least-privilege policies, auditing role bindings, eliminating cluster-admin sprawl, and integrating external identity providers.
implementing-rsa-key-pair-management	cryptography	NIST-CSF;MITRE-ATTACK	RSA (Rivest-Shamir-Adleman) is the most widely deployed asymmetric cryptographic algorithm, used for digital signatures, key exchange, and encryption. This skill covers generating, storing, rotating,
implementing-runtime-application-self-protection	application-security	NIST-CSF;MITRE-ATTACK;NIST-AI-RMF	Deploy Runtime Application Self-Protection (RASP) agents to detect and block attacks from within application runtime, covering OpenRASP integration, attack pattern detection, and security policy configuration for Java and Python web applications.
implementing-runtime-security-with-tetragon	container-security	NIST-CSF;MITRE-ATTACK;NIST-AI-RMF;ATLAS	Implement eBPF-based runtime security observability and enforcement in Kubernetes clusters using Cilium Tetragon for kernel-level threat detection and policy enforcement.
implementing-saml-sso-with-okta	identity-access-management	NIST-CSF;MITRE-ATTACK	Implement SAML 2.0 Single Sign-On (SSO) using Okta as the Identity Provider (IdP). This skill covers end-to-end configuration of SAML authentication flows, attribute mapping, certificate management, a
implementing-scim-provisioning-with-okta	identity-access-management	NIST-CSF;MITRE-ATTACK	Implement automated user provisioning and deprovisioning using SCIM 2.0 protocol with Okta as the identity provider.
implementing-secret-scanning-with-gitleaks	devsecops	NIST-CSF;MITRE-ATTACK	This skill covers implementing Gitleaks for detecting and preventing hardcoded secrets in git repositories. It addresses configuring pre-commit hooks, CI/CD pipeline integration, custom rule authoring for organization-specific secrets, baseline management for existing repositories, and remediation workflows for exposed credentials.
implementing-secrets-management-with-vault	cloud-security	NIST-CSF;MITRE-ATTACK	This skill covers deploying HashiCorp Vault for centralized secrets management across cloud environments, including dynamic secret generation for databases and cloud providers, transit encryption, PKI certificate management, and Kubernetes integration. It addresses eliminating hardcoded credentials from application code and CI/CD pipelines by implementing short-lived, automatically rotated secrets.
implementing-secrets-scanning-in-ci-cd	devsecops	NIST-CSF;MITRE-ATTACK	Integrate gitleaks and trufflehog into CI/CD pipelines to detect leaked secrets before deployment
implementing-security-chaos-engineering	security-operations	NIST-CSF;MITRE-ATTACK;NIST-AI-RMF;ATLAS	Implements security chaos engineering experiments that deliberately disable or degrade security controls to verify detection and response capabilities. Tests WAF bypass, firewall rule removal, log pipeline disruption, and EDR disablement scenarios using boto3 and subprocess. Use when validating SOC detection coverage and resilience.
implementing-security-information-sharing-with-stix2	threat-intelligence	NIST-CSF;MITRE-ATTACK	Create, validate, and share STIX 2.1 threat intelligence objects using the stix2 Python library. Covers indicators, malware, campaigns, relationships, bundles, and TAXII 2.1 publishing.
implementing-security-monitoring-with-datadog	security-operations	NIST-CSF;MITRE-ATTACK;NIST-AI-RMF	Implements security monitoring using Datadog Cloud SIEM, Cloud Security Management (CSM), and Workload Protection to detect threats, enforce compliance, and respond to security events across cloud and hybrid infrastructure. Covers Agent deployment, log source ingestion, detection rule creation, security dashboards, and automated notification workflows. Activates for requests involving Datadog security setup, Cloud SIEM configuration, CSM threat detection, or security monitoring dashboards.
implementing-semgrep-for-custom-sast-rules	devsecops	NIST-CSF;MITRE-ATTACK	Write custom Semgrep SAST rules in YAML to detect application-specific vulnerabilities, enforce coding standards, and integrate into CI/CD pipelines.
implementing-siem-correlation-rules-for-apt	security-operations	NIST-CSF;MITRE-ATTACK	Write multi-event correlation rules that detect APT lateral movement by chaining Windows authentication events, process execution telemetry, and network connection logs across hosts. Uses Splunk SPL and Sigma rule format to correlate Event IDs 4624, 4648, 4688, and Sysmon Events 1/3 within sliding time windows to surface attack sequences invisible to single-event detections.
implementing-siem-use-case-tuning	security-operations	NIST-CSF;MITRE-ATTACK	Tune SIEM detection rules to reduce false positives by analyzing alert volumes, creating whitelists, adjusting thresholds, and measuring detection efficacy metrics in Splunk and Elastic
implementing-siem-use-cases-for-detection	soc-operations	NIST-CSF;MITRE-ATTACK;NIST-AI-RMF;ATLAS	Implements SIEM detection use cases by designing correlation rules, threshold alerts, and behavioral analytics mapped to MITRE ATT&CK techniques across Splunk, Elastic, and Sentinel. Use when SOC teams need to expand detection coverage, formalize use case lifecycle management, or build a detection library aligned to organizational threat profile.
implementing-sigstore-for-software-signing	supply-chain-security	NIST-CSF;MITRE-ATTACK	Implements Sigstore-based software signing and verification using Cosign keyless signing, Rekor transparency log verification, and Fulcio certificate authority integration to establish cryptographic provenance for container images, binaries, and software artifacts. The practitioner configures OIDC-based identity binding, verifies signing events against the Rekor transparency log, and integrates signing workflows into CI/CD pipelines. Activates for requests involving software supply chain signing, keyless container signing, Sigstore deployment, or artifact provenance verification.
implementing-soar-automation-with-phantom	soc-operations	NIST-CSF;MITRE-ATTACK	Implements Security Orchestration, Automation, and Response (SOAR) workflows using Splunk SOAR (formerly Phantom) to automate alert triage, IOC enrichment, containment actions, and incident response playbooks. Use when SOC teams need to reduce manual analyst work, standardize response procedures, or integrate multiple security tools into automated workflows.
implementing-soar-playbook-for-phishing	security-operations	NIST-CSF;MITRE-ATTACK	Automate phishing incident response using Splunk SOAR REST API to create containers, add artifacts, and trigger playbooks
implementing-soar-playbook-with-palo-alto-xsoar	soc-operations	NIST-CSF;MITRE-ATTACK	Implement automated incident response playbooks in Cortex XSOAR to orchestrate security workflows across SOC tools and reduce manual response time.
implementing-stix-taxii-feed-integration	threat-intelligence	NIST-CSF;MITRE-ATTACK	STIX (Structured Threat Information eXpression) and TAXII (Trusted Automated eXchange of Intelligence Information) are OASIS open standards for representing and transporting cyber threat intelligence.
implementing-supply-chain-security-with-in-toto	container-security	NIST-CSF;MITRE-ATTACK	Implement software supply chain integrity verification for container builds using the in-toto framework to create cryptographically signed attestations across CI/CD pipeline steps.
implementing-syslog-centralization-with-rsyslog	security-operations	NIST-CSF;MITRE-ATTACK	Configure rsyslog for centralized log collection with TLS encryption, custom templates, and log rotation. Generates server and client configuration files with GnuTLS stream drivers, x509 certificate authentication, per-host log segregation, and reliable queue settings for high-availability syslog infrastructure.
